file_path,line_number,issue_type,code_snippet
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_import.py",106,"TODO","# TODO: ARCH-91"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_quality.py",83,"TODO","# TODO: ARCH-91"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_validation.py",81,"TODO","# TODO: ARCH-91"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\config\waffle.py",20,"TODO","# TODO: After removing this flag, add a migration to remove waffle flag in a follow-up deployment."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\tests\test_git_export.py",9,"subprocess","import subprocess"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\tests\test_git_export.py",52,"subprocess","subprocess.check_output(['git', '--bare', 'init'],"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\tests\test_git_export.py",154,"subprocess","git_log = subprocess.check_output(['git', 'log', '-1',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\tests\test_git_export.py",169,"subprocess","git_log = subprocess.check_output("
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\export_olx.py",102,"TODO","# TODO: Once we support courses with unicode characters, we will need to revisit this."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v0\views\authoring_videos.py",87,"TODO","# TODO: ARCH-91"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v0\views\authoring_videos.py",104,"TODO","# TODO: ARCH-91"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v1\views\help_urls.py",1,"token","""" API Views for help tokens """"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v2\views\tests\test_downstream_sync_integration.py",109,"TODO","# TODO: is there really no REST API to get the children of an XBlock in Studio?"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v2\views\tests\test_downstream_sync_integration.py",171,"api_key","matlab_api_key="null""
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v2\views\downstreams.py",361,"TODO","# TODO: Delete this `try` after avoid copy/paster unpublished items."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\tests.py",4,"TODO","TODO: Rewrite several of these assertions so that they check the output of the REST or Python"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",3,"TODO","# TODO: Rewrite several of these assertions so that they check the output of the REST or Python"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1805,"TODO","# TODO: create the same test as `test_metadata_not_persistence`,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1907,"token","def test_rerun_course_video_upload_token(self):"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1909,"token","Test when rerunning a course with video upload token, video upload token is not copied to new course."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1911,"token","# Create a course with video upload token."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1913,"token","video_upload_pipeline={"course_video_upload_token": 'test-token'},"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1924,"token","self.assertDictEqual(source_course.video_upload_pipeline, {"course_video_upload_token": 'test-token'})  # noqa: PT009  # pylint: disable=line-too-long"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py",1949,"token","# Verify that video upload token is empty for rerun."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_course_settings.py",4,"TODO","# TODO: Remove each `override_waffle_flag(toggles.LEGACY_STUDIO_*)` by Ulmo. For each occurance:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_crud.py",117,"TODO","# TODO reenable when split_draft supports getting specific versions"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_crud.py",124,"TODO","# But can retrieve by guid -- same TODO as above"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_export_git.py",9,"subprocess","import subprocess"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_export_git.py",56,"subprocess","subprocess.check_output(['git', '--bare', 'init', ], cwd=bare_repo_dir)"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_export_git.py",129,"api_key","self.course_block.matlab_api_key = 'something'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_permissions.py",77,"TODO","TODO: Replace the call to the legacy course_team_handler with a call to the course team REST API."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_video_utils.py",145,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_video_utils.py",229,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_video_utils.py",274,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_assets.py",350,"token","text_search_tokens = text_search.split()"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_assets.py",353,"token","for token in text_search_tokens:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_assets.py",354,"token","self.assertIn(token.lower(), asset_response['display_name'].lower())  # noqa: PT009"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_block.py",2566,"TODO","TODO: move tests that can go over to common after the mixed modulestore work is done.  # pylint: disable=fixme"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",71,"api_key","'api_key': '1234'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",80,"api_key","'api_key': '11111',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",81,"secret_key","'api_secret_key': '44444'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",90,"api_key","'api_key': '12345',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",137,"api_key","'api_key must be specified.',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",144,"api_key","'api_key': 'test_api_key',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",150,"api_key","'api_key': 'test_api_key'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",158,"api_key","'api_key and api_secret_key must be specified.',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",164,"api_key","'api_key': 'test_key',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",165,"secret_key","'api_secret_key': 'test_secret',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",170,"api_key","'api_key': 'test_key',"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py",171,"secret_key","'api_secret_key': 'test_secret'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",87,"token","self.test_token = "test_token""
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",89,"token",""course_video_upload_token": self.test_token,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",96,"token",""course_video_upload_token": self.test_token,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",232,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",275,"access_key","aws_access_key_id=settings.AWS_ACCESS_KEY_ID,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",276,"access_key","aws_secret_access_key=settings.AWS_SECRET_ACCESS_KEY"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",307,"token","self.assertEqual(metadata['course_video_upload_token'], self.test_token)  # noqa: PT009"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",483,"access_key","@override_settings(AWS_ACCESS_KEY_ID="test_key_id", AWS_SECRET_ACCESS_KEY="test_secret")"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",543,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",564,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret', AWS_SECURITY_TOKEN='token')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",589,"access_key","aws_access_key_id=settings.AWS_ACCESS_KEY_ID,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",590,"access_key","aws_secret_access_key=settings.AWS_SECRET_ACCESS_KEY,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",591,"token","security_token=settings.AWS_SECURITY_TOKEN"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",622,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",628,"token","'expect_token': True"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",633,"token","'expect_token': False"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",638,"token","'expect_token': True"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",641,"token","def test_video_upload_token_in_meta(self, data, mock_boto3_resource):"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",643,"token","Test video upload token in s3 metadata."
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",684,"token","# Check if course_video_upload_token is in metadata based on expectation"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",685,"token","if data['expect_token']:"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",686,"token","# We should find the token in the metadata"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",689,"token","self.assertIn('course_video_upload_token', metadata)  # noqa: PT009"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",690,"token","self.assertEqual(metadata['course_video_upload_token'], self.test_token)  # noqa: PT009"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",692,"token","# If we don't expect a token, verify it's not in metadata"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",695,"token","self.assertNotIn('course_video_upload_token', metadata)  # noqa: PT009"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",754,"token","# `invalid_token` should be converted to `youtube_duplicate`"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",756,"token","video['status'] = 'invalid_token'"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",772,"token","statuses.remove('invalid_token')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",823,"token","('test_video_token', "Transcription in Progress"),"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",827,"token","def test_video_transcript_status_conversion(self, course_video_upload_token, expected_video_status_text):"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",834,"token","'course_video_upload_token': course_video_upload_token"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",1450,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",1575,"token",""course_video_upload_token": self.test_token,"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\tests\test_videos.py",1644,"access_key","@override_settings(AWS_ACCESS_KEY_ID='test_key_id', AWS_SECRET_ACCESS_KEY='test_secret')"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\block.py",31,"token","from openedx.core.lib.xblock_utils import hash_resource, request_token, wrap_xblock, wrap_xblock_aside"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\block.py",163,"token","request_token=request_token(request),"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\block.py",172,"token","request_token=request_token(request),"
"B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\component.py",318,"TODO","# TODO: Once mixins are defined per-application, rather than per-runtime,"
