File,LowSeverityCount
.\cms\djangoapps\api\v1\tests\test_serializers\test_course_runs.py,2
.\cms\djangoapps\api\v1\tests\test_views\test_course_runs.py,46
.\cms\djangoapps\api\v1\views\course_runs.py,1
.\cms\djangoapps\cms_user_tasks\tests.py,14
.\cms\djangoapps\contentstore\api\tests\base.py,1
.\cms\djangoapps\contentstore\api\tests\test_import.py,1
.\cms\djangoapps\contentstore\api\tests\test_validation.py,13
.\cms\djangoapps\contentstore\core\tests\test_course_optimizer_provider.py,3
.\cms\djangoapps\contentstore\git_export_utils.py,2
.\cms\djangoapps\contentstore\management\commands\tests\test_backfill_course_outlines.py,5
.\cms\djangoapps\contentstore\management\commands\tests\test_backfill_course_tabs.py,29
.\cms\djangoapps\contentstore\management\commands\tests\test_backfill_orgs_and_org_courses.py,33
.\cms\djangoapps\contentstore\management\commands\tests\test_clean_stale_certificate_availability_dates.py,14
.\cms\djangoapps\contentstore\management\commands\tests\test_delete_course.py,6
.\cms\djangoapps\contentstore\management\commands\tests\test_git_export.py,7
.\cms\djangoapps\contentstore\rest_api\v0\tests\test_advanced_settings.py,7
.\cms\djangoapps\contentstore\rest_api\v0\tests\test_assets.py,22
.\cms\djangoapps\contentstore\rest_api\v0\tests\test_tabs.py,14
.\cms\djangoapps\contentstore\rest_api\v0\tests\test_tabs_permissions.py,11
.\cms\djangoapps\contentstore\rest_api\v0\tests\test_xblock.py,24
.\cms\djangoapps\contentstore\rest_api\v1\mixins.py,1
.\cms\djangoapps\contentstore\rest_api\v1\views\tests\test_course_details.py,1
.\cms\djangoapps\contentstore\rest_api\v1\views\tests\test_course_index.py,9
.\cms\djangoapps\contentstore\rest_api\v1\views\tests\test_course_waffle_flags.py,2
.\cms\djangoapps\contentstore\rest_api\v1\views\tests\test_proctoring.py,31
.\cms\djangoapps\contentstore\rest_api\v1\views\tests\test_textbooks.py,5
.\cms\djangoapps\contentstore\rest_api\v2\views\downstreams.py,1
.\cms\djangoapps\contentstore\rest_api\v2\views\tests\test_downstream_sync_integration.py,19
.\cms\djangoapps\contentstore\rest_api\v2\views\tests\test_downstreams.py,122
.\cms\djangoapps\contentstore\tasks.py,1
.\cms\djangoapps\contentstore\tests\test_admin.py,1
.\cms\djangoapps\contentstore\tests\test_contentstore.py,6
.\cms\djangoapps\contentstore\tests\test_course_create_rerun.py,4
.\cms\djangoapps\contentstore\tests\test_course_listing.py,3
.\cms\djangoapps\contentstore\tests\test_course_settings.py,7
.\cms\djangoapps\contentstore\tests\test_courseware_index.py,1
.\cms\djangoapps\contentstore\tests\test_exams.py,2
.\cms\djangoapps\contentstore\tests\test_export_git.py,3
.\cms\djangoapps\contentstore\tests\test_libraries.py,7
.\cms\djangoapps\contentstore\tests\test_outlines.py,64
.\cms\djangoapps\contentstore\tests\test_permissions.py,1
.\cms\djangoapps\contentstore\tests\test_proctoring.py,2
.\cms\djangoapps\contentstore\tests\test_tasks.py,21
.\cms\djangoapps\contentstore\tests\test_transcripts_utils.py,4
.\cms\djangoapps\contentstore\tests\test_upstream_downstream_links.py,25
.\cms\djangoapps\contentstore\tests\test_utils.py,15
.\cms\djangoapps\contentstore\tests\test_video_utils.py,3
.\cms\djangoapps\contentstore\tests\tests.py,6
.\cms\djangoapps\contentstore\utils.py,2
.\cms\djangoapps\contentstore\views\course.py,2
.\cms\djangoapps\contentstore\views\library.py,2
.\cms\djangoapps\contentstore\views\tests\test_access.py,2
.\cms\djangoapps\contentstore\views\tests\test_block.py,65
.\cms\djangoapps\contentstore\views\tests\test_clipboard_paste.py,65
.\cms\djangoapps\contentstore\views\tests\test_course_index.py,8
.\cms\djangoapps\contentstore\views\tests\test_entrance_exam.py,1
.\cms\djangoapps\contentstore\views\tests\test_exam_settings_view.py,9
.\cms\djangoapps\contentstore\views\tests\test_group_configurations.py,1
.\cms\djangoapps\contentstore\views\tests\test_import_export.py,3
.\cms\djangoapps\contentstore\views\tests\test_library.py,4
.\cms\djangoapps\contentstore\views\tests\test_organizations.py,5
.\cms\djangoapps\contentstore\views\tests\test_preview.py,12
.\cms\djangoapps\contentstore\views\tests\test_tabs.py,20
.\cms\djangoapps\contentstore\views\tests\test_textbooks_permissions.py,15
.\cms\djangoapps\contentstore\views\tests\test_transcript_settings.py,4
.\cms\djangoapps\contentstore\views\tests\test_transcripts.py,1
.\cms\djangoapps\contentstore\views\tests\test_user.py,2
.\cms\djangoapps\contentstore\views\tests\test_videos.py,12
.\cms\djangoapps\contentstore\xblock_storage_handlers\view_handlers.py,2
.\cms\djangoapps\course_creators\models.py,1
.\cms\djangoapps\course_creators\tests\test_admin.py,2
.\cms\djangoapps\course_creators\tests\test_views.py,3
.\cms\djangoapps\export_course_metadata\management\commands\tests\test_export_course_metadata_for_all_courses.py,1
.\cms\djangoapps\modulestore_migrator\api\read_api.py,1
.\cms\djangoapps\modulestore_migrator\api\write_api.py,1
.\cms\djangoapps\modulestore_migrator\tests\test_api.py,83
.\cms\djangoapps\modulestore_migrator\tests\test_rest_api.py,102
.\cms\djangoapps\modulestore_migrator\tests\test_tasks.py,33
.\cms\envs\common.py,2
.\cms\envs\devstack.py,4
.\cms\envs\production.py,1
.\cms\lib\xblock\test\test_upstream_sync.py,141
.\common\djangoapps\course_action_state\tests\test_managers.py,2
.\common\djangoapps\course_action_state\tests\test_rerun_manager.py,1
.\common\djangoapps\course_modes\rest_api\v1\tests\test_views.py,34
.\common\djangoapps\course_modes\tests\factories.py,1
.\common\djangoapps\course_modes\tests\test_admin.py,6
.\common\djangoapps\course_modes\tests\test_models.py,61
.\common\djangoapps\course_modes\tests\test_signals.py,8
.\common\djangoapps\course_modes\tests\test_views.py,25
.\common\djangoapps\edxmako\tests.py,29
.\common\djangoapps\entitlements\management\commands\tests\test_expire_old_entitlements.py,8
.\common\djangoapps\entitlements\rest_api\v1\tests\test_serializers.py,1
.\common\djangoapps\entitlements\rest_api\v1\tests\test_views.py,132
.\common\djangoapps\entitlements\tests\test_models.py,42
.\common\djangoapps\entitlements\tests\test_tasks.py,9
.\common\djangoapps\entitlements\tests\test_utils.py,9
.\common\djangoapps\pipeline_mako\tests\test_render.py,4
.\common\djangoapps\pipeline_mako\tests\test_static_content.py,2
.\common\djangoapps\static_replace\test\test_static_replace.py,41
.\common\djangoapps\status\tests.py,6
.\common\djangoapps\student\auth.py,1
.\common\djangoapps\student\management\commands\assigngroups.py,1
.\common\djangoapps\student\management\commands\create_random_users.py,1
.\common\djangoapps\student\management\commands\recover_account.py,1
.\common\djangoapps\student\management\tests\test_bulk_change_enrollment.py,11
.\common\djangoapps\student\management\tests\test_bulk_change_enrollment_csv.py,4
.\common\djangoapps\student\management\tests\test_bulk_unenroll.py,3
.\common\djangoapps\student\management\tests\test_change_eligibility_deadline.py,2
.\common\djangoapps\student\management\tests\test_change_enrollment.py,4
.\common\djangoapps\student\management\tests\test_create_random_users.py,5
.\common\djangoapps\student\management\tests\test_create_test_users.py,26
.\common\djangoapps\student\management\tests\test_populate_created_on_site_user_attribute.py,8
.\common\djangoapps\student\management\tests\test_recover_account.py,9
.\common\djangoapps\student\management\tests\test_transfer_students.py,7
.\common\djangoapps\student\models\course_enrollment.py,7
.\common\djangoapps\student\models\user.py,1
.\common\djangoapps\student\tests\factories.py,2
.\common\djangoapps\student\tests\test_activate_account.py,18
.\common\djangoapps\student\tests\test_admin_views.py,44
.\common\djangoapps\student\tests\test_api.py,9
.\common\djangoapps\student\tests\test_authz.py,44
.\common\djangoapps\student\tests\test_bulk_email_settings.py,2
.\common\djangoapps\student\tests\test_certificates.py,2
.\common\djangoapps\student\tests\test_configuration_overrides.py,11
.\common\djangoapps\student\tests\test_course_listing.py,11
.\common\djangoapps\student\tests\test_credit.py,3
.\common\djangoapps\student\tests\test_email.py,51
.\common\djangoapps\student\tests\test_enrollment.py,59
.\common\djangoapps\student\tests\test_events.py,9
.\common\djangoapps\student\tests\test_filters.py,2
.\common\djangoapps\student\tests\test_helpers.py,3
.\common\djangoapps\student\tests\test_long_username_email.py,7
.\common\djangoapps\student\tests\test_models.py,71
.\common\djangoapps\student\tests\test_parental_controls.py,15
.\common\djangoapps\student\tests\test_password_policy.py,60
.\common\djangoapps\student\tests\test_receivers.py,9
.\common\djangoapps\student\tests\test_recent_enrollments.py,13
.\common\djangoapps\student\tests\test_refunds.py,20
.\common\djangoapps\student\tests\test_retirement.py,25
.\common\djangoapps\student\tests\test_roles.py,52
.\common\djangoapps\student\tests\test_tasks.py,1
.\common\djangoapps\student\tests\test_user_profile_properties.py,11
.\common\djangoapps\student\tests\test_userstanding.py,9
.\common\djangoapps\student\tests\test_views.py,30
.\common\djangoapps\student\tests\tests.py,98
.\common\djangoapps\student\views\dashboard.py,1
.\common\djangoapps\student\views\management.py,1
.\common\djangoapps\third_party_auth\api\tests\test_permissions.py,4
.\common\djangoapps\third_party_auth\api\tests\test_views.py,23
.\common\djangoapps\third_party_auth\appleid.py,4
.\common\djangoapps\third_party_auth\identityserver3.py,1
.\common\djangoapps\third_party_auth\management\commands\generate_and_store_apple_transfer_ids.py,1
.\common\djangoapps\third_party_auth\management\commands\generate_and_store_new_apple_ids.py,1
.\common\djangoapps\third_party_auth\management\commands\tests\test_remove_social_auth_users.py,4
.\common\djangoapps\third_party_auth\management\commands\tests\test_saml.py,10
.\common\djangoapps\third_party_auth\models.py,6
.\common\djangoapps\third_party_auth\pipeline.py,6
.\common\djangoapps\third_party_auth\saml_configuration\tests\test_saml_configuration.py,9
.\common\djangoapps\third_party_auth\signals\tests\test_handlers.py,2
.\common\djangoapps\third_party_auth\tests\specs\base.py,86
.\common\djangoapps\third_party_auth\tests\specs\test_azuread.py,5
.\common\djangoapps\third_party_auth\tests\specs\test_generic.py,1
.\common\djangoapps\third_party_auth\tests\specs\test_google.py,16
.\common\djangoapps\third_party_auth\tests\specs\test_linkedin.py,2
.\common\djangoapps\third_party_auth\tests\specs\test_lti.py,19
.\common\djangoapps\third_party_auth\tests\specs\test_testshib.py,58
.\common\djangoapps\third_party_auth\tests\specs\test_twitter.py,3
.\common\djangoapps\third_party_auth\tests\test_admin.py,8
.\common\djangoapps\third_party_auth\tests\test_decorators.py,2
.\common\djangoapps\third_party_auth\tests\test_identityserver3.py,8
.\common\djangoapps\third_party_auth\tests\test_lti.py,15
.\common\djangoapps\third_party_auth\tests\test_middleware.py,2
.\common\djangoapps\third_party_auth\tests\test_models.py,6
.\common\djangoapps\third_party_auth\tests\test_pipeline.py,4
.\common\djangoapps\third_party_auth\tests\test_pipeline_integration.py,81
.\common\djangoapps\third_party_auth\tests\test_provider.py,49
.\common\djangoapps\third_party_auth\tests\test_saml.py,3
.\common\djangoapps\third_party_auth\tests\test_settings.py,16
.\common\djangoapps\third_party_auth\tests\test_utils.py,23
.\common\djangoapps\third_party_auth\tests\test_views.py,20
.\common\djangoapps\third_party_auth\tests\testutil.py,1
.\common\djangoapps\third_party_auth\tests\utils.py,2
.\common\djangoapps\track\backends\tests\test_logger.py,2
.\common\djangoapps\track\backends\tests\test_mongodb.py,3
.\common\djangoapps\track\contexts.py,1
.\common\djangoapps\track\management\tests\test_tracked_command.py,1
.\common\djangoapps\track\middleware.py,2
.\common\djangoapps\track\tests\__init__.py,2
.\common\djangoapps\track\tests\test_contexts.py,3
.\common\djangoapps\track\tests\test_middleware.py,16
.\common\djangoapps\track\tests\test_segment.py,17
.\common\djangoapps\track\tests\test_shim.py,10
.\common\djangoapps\track\tests\test_tracker.py,8
.\common\djangoapps\track\tests\test_util.py,6
.\common\djangoapps\track\views\tests\base.py,1
.\common\djangoapps\track\views\tests\test_segmentio.py,9
.\common\djangoapps\util\date_utils.py,1
.\common\djangoapps\util\db.py,2
.\common\djangoapps\util\testing.py,3
.\common\djangoapps\util\tests\test_codejail_includes.py,5
.\common\djangoapps\util\tests\test_course.py,4
.\common\djangoapps\util\tests\test_date_utils.py,31
.\common\djangoapps\util\tests\test_db.py,3
.\common\djangoapps\util\tests\test_django_utils.py,1
.\common\djangoapps\util\tests\test_file.py,23
.\common\djangoapps\util\tests\test_json_request.py,43
.\common\djangoapps\util\tests\test_keyword_sub_utils.py,11
.\common\djangoapps\util\tests\test_memcache.py,10
.\common\djangoapps\util\tests\test_milestones_helpers.py,14
.\common\djangoapps\util\tests\test_password_policy_validators.py,6
.\common\djangoapps\util\tests\test_resolve_storage_backend.py,7
.\common\djangoapps\util\tests\test_sandboxing.py,12
.\common\djangoapps\util\tests\test_string_utils.py,10
.\common\djangoapps\xblock_django\tests\test_api.py,9
.\common\djangoapps\xblock_django\tests\test_commands.py,7
.\common\djangoapps\xblock_django\tests\test_translation.py,4
.\common\djangoapps\xblock_django\tests\test_user_service.py,24
.\common\test\utils.py,4
.\docs\conf.py,2
.\lms\djangoapps\academic_programs\tests.py,2
.\lms\djangoapps\academic_programs\views.py,1
.\lms\djangoapps\branding\test_toggles.py,1
.\lms\djangoapps\branding\tests\test_api.py,8
.\lms\djangoapps\branding\tests\test_models.py,3
.\lms\djangoapps\branding\tests\test_page.py,34
.\lms\djangoapps\branding\tests\test_views.py,46
.\lms\djangoapps\bulk_email\tasks.py,1
.\lms\djangoapps\bulk_email\tests\test_api.py,21
.\lms\djangoapps\bulk_email\tests\test_course_optout.py,17
.\lms\djangoapps\bulk_email\tests\test_email.py,54
.\lms\djangoapps\bulk_email\tests\test_err_handling.py,19
.\lms\djangoapps\bulk_email\tests\test_forms.py,30
.\lms\djangoapps\bulk_email\tests\test_models.py,57
.\lms\djangoapps\bulk_email\tests\test_signals.py,11
.\lms\djangoapps\bulk_email\tests\test_tasks.py,37
.\lms\djangoapps\bulk_email\tests\test_views.py,6
.\lms\djangoapps\bulk_enroll\tests\test_views.py,46
.\lms\djangoapps\bulk_user_retirement\tests\test_views.py,20
.\lms\djangoapps\ccx\api\v0\tests\test_views.py,135
.\lms\djangoapps\ccx\tests\test_ccx_modulestore.py,11
.\lms\djangoapps\ccx\tests\test_field_override_performance.py,1
.\lms\djangoapps\ccx\tests\test_models.py,15
.\lms\djangoapps\ccx\tests\test_overrides.py,4
.\lms\djangoapps\ccx\tests\test_tasks.py,5
.\lms\djangoapps\ccx\tests\test_utils.py,73
.\lms\djangoapps\ccx\tests\test_views.py,142
.\lms\djangoapps\certificates\apis\v0\tests\test_views.py,41
.\lms\djangoapps\certificates\management\commands\tests\test_purge_pii_from_generatedcertificates.py,9
.\lms\djangoapps\certificates\management\commands\tests\test_purge_references_to_pdf_certificates.py,1
.\lms\djangoapps\certificates\tests\test_api.py,135
.\lms\djangoapps\certificates\tests\test_data.py,4
.\lms\djangoapps\certificates\tests\test_filters.py,2
.\lms\djangoapps\certificates\tests\test_generation.py,34
.\lms\djangoapps\certificates\tests\test_generation_handler.py,72
.\lms\djangoapps\certificates\tests\test_models.py,52
.\lms\djangoapps\certificates\tests\test_services.py,3
.\lms\djangoapps\certificates\tests\test_signals.py,6
.\lms\djangoapps\certificates\tests\test_support_views.py,57
.\lms\djangoapps\certificates\tests\test_tasks.py,6
.\lms\djangoapps\certificates\tests\test_utils.py,4
.\lms\djangoapps\certificates\tests\test_views.py,2
.\lms\djangoapps\certificates\tests\test_webview_views.py,55
.\lms\djangoapps\certificates\tests\tests.py,10
.\lms\djangoapps\commerce\api\v0\tests\test_views.py,22
.\lms\djangoapps\commerce\api\v1\tests\test_models.py,2
.\lms\djangoapps\commerce\api\v1\tests\test_views.py,39
.\lms\djangoapps\commerce\management\commands\tests\test_configure_commerce.py,7
.\lms\djangoapps\commerce\management\commands\tests\test_create_orders_for_old_enterprise_course_enrollmnet.py,6
.\lms\djangoapps\commerce\tests\__init__.py,4
.\lms\djangoapps\commerce\tests\mocks.py,1
.\lms\djangoapps\commerce\tests\test_signals.py,24
.\lms\djangoapps\commerce\tests\test_utils.py,25
.\lms\djangoapps\commerce\tests\test_views.py,1
.\lms\djangoapps\course_api\blocks\tests\pacts\verify_pact.py,1
.\lms\djangoapps\course_api\blocks\tests\test_api.py,16
.\lms\djangoapps\course_api\blocks\tests\test_serializers.py,18
.\lms\djangoapps\course_api\blocks\tests\test_views.py,28
.\lms\djangoapps\course_api\blocks\transformers\tests\test_block_completion.py,3
.\lms\djangoapps\course_api\blocks\transformers\tests\test_block_counts.py,5
.\lms\djangoapps\course_api\blocks\transformers\tests\test_extra_fields.py,1
.\lms\djangoapps\course_api\blocks\transformers\tests\test_milestones.py,3
.\lms\djangoapps\course_api\blocks\transformers\tests\test_navigation.py,4
.\lms\djangoapps\course_api\blocks\transformers\tests\test_student_view.py,4
.\lms\djangoapps\course_api\blocks\transformers\tests\test_video_stream_priority.py,4
.\lms\djangoapps\course_api\blocks\transformers\tests\test_video_urls.py,2
.\lms\djangoapps\course_api\tests\mixins.py,1
.\lms\djangoapps\course_api\tests\test_api.py,15
.\lms\djangoapps\course_api\tests\test_permissions.py,6
.\lms\djangoapps\course_api\tests\test_serializers.py,11
.\lms\djangoapps\course_api\tests\test_views.py,40
.\lms\djangoapps\course_blocks\transformers\tests\helpers.py,3
.\lms\djangoapps\course_blocks\transformers\tests\test_library_content.py,7
.\lms\djangoapps\course_blocks\transformers\tests\test_load_override_data.py,6
.\lms\djangoapps\course_blocks\transformers\tests\test_split_test.py,3
.\lms\djangoapps\course_blocks\transformers\tests\test_user_partitions.py,2
.\lms\djangoapps\course_goals\management\commands\tests\test_goal_reminder_email.py,18
.\lms\djangoapps\course_goals\tests\test_user_activity.py,2
.\lms\djangoapps\course_home_api\course_metadata\tests\test_views.py,31
.\lms\djangoapps\course_home_api\dates\tests\test_views.py,9
.\lms\djangoapps\course_home_api\outline\tests\test_goals.py,19
.\lms\djangoapps\course_home_api\outline\tests\test_view.py,104
.\lms\djangoapps\course_home_api\progress\tests\test_api.py,12
.\lms\djangoapps\course_home_api\progress\tests\test_views.py,49
.\lms\djangoapps\course_home_api\tests\test_utils.py,3
.\lms\djangoapps\course_wiki\plugins\markdownedx\mdx_mathjax.py,1
.\lms\djangoapps\course_wiki\plugins\markdownedx\mdx_video.py,1
.\lms\djangoapps\course_wiki\tests\test_access.py,21
.\lms\djangoapps\course_wiki\tests\test_comprehensive_theming.py,3
.\lms\djangoapps\course_wiki\tests\test_middleware.py,2
.\lms\djangoapps\course_wiki\tests\test_tab.py,10
.\lms\djangoapps\course_wiki\tests\tests.py,13
.\lms\djangoapps\courseware\access_response.py,1
.\lms\djangoapps\courseware\courses.py,1
.\lms\djangoapps\courseware\management\commands\tests\test_dump_course.py,26
.\lms\djangoapps\courseware\model_data.py,6
.\lms\djangoapps\courseware\tests\helpers.py,16
.\lms\djangoapps\courseware\tests\pacts\verify_pact.py,1
.\lms\djangoapps\courseware\tests\test_about.py,9
.\lms\djangoapps\courseware\tests\test_access.py,97
.\lms\djangoapps\courseware\tests\test_block_render.py,164
.\lms\djangoapps\courseware\tests\test_comprehensive_theming.py,6
.\lms\djangoapps\courseware\tests\test_context_processor.py,15
.\lms\djangoapps\courseware\tests\test_course_survey.py,7
.\lms\djangoapps\courseware\tests\test_course_tools.py,7
.\lms\djangoapps\courseware\tests\test_courses.py,73
.\lms\djangoapps\courseware\tests\test_credit_requirements.py,2
.\lms\djangoapps\courseware\tests\test_date_summary.py,88
.\lms\djangoapps\courseware\tests\test_discussion_xblock.py,37
.\lms\djangoapps\courseware\tests\test_entrance_exam.py,15
.\lms\djangoapps\courseware\tests\test_favicon.py,2
.\lms\djangoapps\courseware\tests\test_field_overrides.py,18
.\lms\djangoapps\courseware\tests\test_footer.py,1
.\lms\djangoapps\courseware\tests\test_group_access.py,2
.\lms\djangoapps\courseware\tests\test_i18n.py,8
.\lms\djangoapps\courseware\tests\test_lti_integration.py,7
.\lms\djangoapps\courseware\tests\test_masquerade.py,46
.\lms\djangoapps\courseware\tests\test_middleware.py,3
.\lms\djangoapps\courseware\tests\test_model_data.py,36
.\lms\djangoapps\courseware\tests\test_rules.py,3
.\lms\djangoapps\courseware\tests\test_self_paced_overrides.py,11
.\lms\djangoapps\courseware\tests\test_services.py,1
.\lms\djangoapps\courseware\tests\test_sharing_sites.py,1
.\lms\djangoapps\courseware\tests\test_split_module.py,5
.\lms\djangoapps\courseware\tests\test_submitting_problems.py,53
.\lms\djangoapps\courseware\tests\test_tabs.py,60
.\lms\djangoapps\courseware\tests\test_utils.py,13
.\lms\djangoapps\courseware\tests\test_video_handlers.py,102
.\lms\djangoapps\courseware\tests\test_video_mongo.py,68
.\lms\djangoapps\courseware\tests\test_video_xml.py,4
.\lms\djangoapps\courseware\tests\test_view_authentication.py,9
.\lms\djangoapps\courseware\tests\test_views.py,170
.\lms\djangoapps\courseware\tests\test_word_cloud.py,10
.\lms\djangoapps\courseware\tests\tests.py,5
.\lms\djangoapps\courseware\testutils.py,2
.\lms\djangoapps\coursewarehistoryextended\tests.py,16
.\lms\djangoapps\discussion\django_comment_client\base\tests_v2.py,135
.\lms\djangoapps\discussion\django_comment_client\base\views.py,2
.\lms\djangoapps\discussion\django_comment_client\permissions.py,1
.\lms\djangoapps\discussion\django_comment_client\tests\group_id.py,16
.\lms\djangoapps\discussion\django_comment_client\tests\mixins.py,1
.\lms\djangoapps\discussion\django_comment_client\tests\mock_cs_server\test_mock_cs_server.py,1
.\lms\djangoapps\discussion\django_comment_client\tests\test_middleware.py,9
.\lms\djangoapps\discussion\django_comment_client\tests\test_models.py,5
.\lms\djangoapps\discussion\django_comment_client\tests\test_utils.py,119
.\lms\djangoapps\discussion\notification_prefs\tests.py,21
.\lms\djangoapps\discussion\plugins.py,1
.\lms\djangoapps\discussion\rest_api\tests\test_api.py,15
.\lms\djangoapps\discussion\rest_api\tests\test_api_v2.py,172
.\lms\djangoapps\discussion\rest_api\tests\test_forms.py,8
.\lms\djangoapps\discussion\rest_api\tests\test_pagination.py,1
.\lms\djangoapps\discussion\rest_api\tests\test_permissions.py,6
.\lms\djangoapps\discussion\rest_api\tests\test_render.py,10
.\lms\djangoapps\discussion\rest_api\tests\test_serializers_v2.py,57
.\lms\djangoapps\discussion\rest_api\tests\test_tasks_v2.py,4
.\lms\djangoapps\discussion\rest_api\tests\test_utils.py,5
.\lms\djangoapps\discussion\rest_api\tests\test_views.py,11
.\lms\djangoapps\discussion\rest_api\tests\test_views_v2.py,134
.\lms\djangoapps\discussion\rest_api\tests\utils.py,32
.\lms\djangoapps\discussion\rest_api\views.py,2
