File,Line,Text
B:\LEARNNOV PLATFORM\openedx-platform-master\extract_todo.py,3,pattern = re.compile(r'TODO|FIXME')
B:\LEARNNOV PLATFORM\openedx-platform-master\webpack.common.config.js,602,"'edx-ui-toolkit': 'edx-ui-toolkit/src/', // @TODO: some paths in toolkit are not valid relative paths"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\urls.py,210,# TODO: Remove deprecated signin url when traffic proves it is no longer in use
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\urls.py,216,# TODO: Remove deprecated signup url when traffic proves it is no longer in use
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\asset_storage_handlers.py,679,"# TODO: this method needs improvement. These view decorators should be at the top in an actual view method,"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py,286,"# FIXME: The DefinitionLocator technically only accepts an ObjectId (or a str representing an ObjectId), but"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py,333,# FIXME: This code shouldn't have any special cases for specific block types like video
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\helpers.py,440,# FIXME: This code shouldn't have any special cases for specific block types like video
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\models.py,468,# TODO: is there a way to run `subq_container` or `subq_components` depending on the container type?
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tasks.py,697,# TODO: Is this really ok?  Seems dangerous for a live course
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\video_storage_handlers.py,166,# TODO: Add a related unit tests when the VAL update is part of platform
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_import.py,106,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_quality.py,83,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\api\views\course_validation.py,81,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\config\waffle.py,20,"# TODO: After removing this flag, add a migration to remove waffle flag in a follow-up deployment."
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\management\commands\export_olx.py,102,"# TODO: Once we support courses with unicode characters, we will need to revisit this."
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v0\views\authoring_videos.py,87,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v0\views\authoring_videos.py,104,# TODO: ARCH-91
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v2\views\downstreams.py,361,# TODO: Delete this `try` after avoid copy/paster unpublished items.
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\rest_api\v2\views\tests\test_downstream_sync_integration.py,109,# TODO: is there really no REST API to get the children of an XBlock in Studio?
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\tests.py,4,TODO: Rewrite several of these assertions so that they check the output of the REST or Python
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py,3,# TODO: Rewrite several of these assertions so that they check the output of the REST or Python
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_contentstore.py,1805,"# TODO: create the same test as `test_metadata_not_persistence`,"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_course_settings.py,4,# TODO: Remove each `override_waffle_flag(toggles.LEGACY_STUDIO_*)` by Ulmo. For each occurance:
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_crud.py,117,# TODO reenable when split_draft supports getting specific versions
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_crud.py,124,# But can retrieve by guid -- same TODO as above
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\tests\test_permissions.py,77,TODO: Replace the call to the legacy course_team_handler with a call to the course team REST API.
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\component.py,318,"# TODO: Once mixins are defined per-application, rather than per-runtime,"
B:\LEARNNOV PLATFORM\openedx-platform-master\cms\djangoapps\contentstore\views\course.py,442,# TODO remove this condition when templates purged from db
